"site","campaign","scenario","scenario_label","stem_nmol_s","stem_mg_m2_d","nonstem_mg_m2_d","total_mg_m2_d","disturbance_level"
"CP40","Mar 2023","constant_at_max","Constant above 1.5 m",166.77020202689,0.121525186713768,19.8863605632162,20.00788574993,"ghost"
"FLM30","Mar 2023","zero_above","Zero above 1.5 m",177.215547551915,0.116853645663616,7.62605306723167,7.74290671289528,"ghost"
"FLM30","Mar 2023","exp_zero_asym","Exponential (asym. = 0)",177.680040308889,0.117159926194791,7.62605306723167,7.74321299342646,"ghost"
"FLM30","Mar 2023","linear_clamp","Linear (clamped >= 0)",1122.82677765682,0.740377490747493,7.62605306723167,8.36643055797916,"ghost"
"FLM30","Mar 2023","linear_obs_range","Linear (obs. range cap)",900.98735359401,0.594099436639051,7.62605306723167,8.22015250387072,"ghost"
"FLM30","Mar 2023","exp_free_asym","Exp. (free asymptote)",828.82169378639,0.546514331625788,7.62605306723167,8.17256739885745,"ghost"
"FLM30","Mar 2023","constant_at_max","Constant above 1.5 m",184.921593365634,0.121934912851644,7.62605306723167,7.74798798008331,"ghost"
"SRS5","Mar 2023","zero_above","Zero above 1.5 m",18.125087908071,0.0142130322524806,1.04022482742098,1.05443785967346,"healthy"
"SRS5","Mar 2023","exp_zero_asym","Exponential (asym. = 0)",47.3642134451647,0.037141287078102,1.04022482742098,1.07736611449908,"healthy"
"SRS5","Mar 2023","linear_clamp","Linear (clamped >= 0)",27.5395252103499,0.0215954902959896,1.04022482742098,1.06182031771697,"healthy"
"SRS5","Mar 2023","linear_obs_range","Linear (obs. range cap)",-659.040589147962,-0.51679557068977,1.04022482742098,0.523429256731213,"healthy"
"SRS5","Mar 2023","exp_free_asym","Exp. (free asymptote)",-122.207186378194,-0.0958304141909694,1.04022482742098,0.944394413230013,"healthy"
"SRS5","Mar 2023","constant_at_max","Constant above 1.5 m",112.91625577242,0.088544805590052,1.04022482742098,1.12876963301103,"healthy"
