"site","campaign","height_bin_num","height_mid_m","stem_SA_m2","flux_nmol_m2_s","total_flux_nmol_s","scenario"
"FLM30","Mar 2023",8,8.25,3.656596828,1.47146083248346e-12,5.38053901258526e-12,"exponential"
"FLM30","Mar 2023",8.5,8.75,1.417504889,2.52088410623558e-13,3.57336554519133e-13,"exponential"
"FLM30","Mar 2023",9,9.25,0.698586722,4.31873994657793e-14,3.01701438245033e-14,"exponential"
"FLM30","Mar 2023",9.5,9.75,0.365448341,7.39879896899356e-15,2.70387880861121e-15,"exponential"
"FLM30","Mar 2023",10,10.25,0.310972685,1.26755087967166e-15,3.9417370042561e-16,"exponential"
"FLM30","Mar 2023",10.5,10.75,0.166994499,2.17154870579617e-16,3.6263668817853e-17,"exponential"
"SRS5","Mar 2023",0,0.25,30.89988231,0.10639403268009,3.28756308830107,"exponential"
"SRS5","Mar 2023",0.5,0.75,59.773419509,0.0863839655941282,5.16346501430884,"exponential"
"SRS5","Mar 2023",1,1.25,137.93032641,0.0701372936413186,9.67405980546109,"exponential"
"SRS5","Mar 2023",1.5,1.75,112.30752079,0.0569462159498605,6.39548833170079,"exponential"
"SRS5","Mar 2023",2,2.25,104.80543806,0.0462360513593833,4.84578961688483,"exponential"
"SRS5","Mar 2023",2.5,2.75,103.13717564,0.0375402019194704,3.87179039892948,"exponential"
"SRS5","Mar 2023",3,3.25,97.2843071,0.0304798251304089,2.965208668341,"exponential"
"SRS5","Mar 2023",3.5,3.75,101.72916534,0.0247473293290537,2.51752515703873,"exponential"
"SRS5","Mar 2023",4,4.25,95.55579855,0.0200929731814516,1.92000009759734,"exponential"
"SRS5","Mar 2023",4.5,4.75,97.89035965,0.0163139854770733,1.59698190567558,"exponential"
"SRS5","Mar 2023",5,5.25,101.12305604,0.0132457312187052,1.3394488203199,"exponential"
"SRS5","Mar 2023",5.5,5.75,98.60312502,0.010754539150764,1.06043116841527,"exponential"
"SRS5","Mar 2023",6,6.25,90.81221839,0.00873187825085756,0.792961234671768,"exponential"
