"site","campaign","tide_state","component","mc_mean","mc_se","mc_ci_lo","mc_ci_hi","disturbance_level"
"SRS5","Oct 2022","high_tide","cwd",0.00553831057653136,0.00542581682843254,0.000767222164913662,0.0201616974114796,"healthy"
"SRS5","Oct 2022","high_tide","stem_measured",0.013366677685384,0.00287657322257447,0.00865357546144459,0.0197971825014067,"healthy"
"SRS5","Oct 2022","high_tide","stem_extrapolated",0.0415709119560982,0.149928667446929,0.00444128212945221,0.203086228038998,"healthy"
"SRS5","Oct 2022","high_tide","total",0.936110862297895,0.392055649224925,0.23517476999584,1.67478893605974,"healthy"
"SRS5","Oct 2022","low_tide","soil",1.7302702569196,0.240172032393339,1.25632109605123,2.21676477541827,"healthy"
"SRS5","Oct 2022","low_tide","water",0,0,0,0,"healthy"
"SRS5","Oct 2022","low_tide","root",0.262378512767577,0.0948422823762511,0.0981058218427905,0.46428498561198,"healthy"
"SRS5","Oct 2022","low_tide","cwd",0.00553831057653136,0.00542581682843254,0.000767222164913662,0.0201616974114796,"healthy"
"SRS5","Oct 2022","low_tide","stem_measured",0.013366677685384,0.00287657322257447,0.00865357546144459,0.0197971825014067,"healthy"
"SRS5","Oct 2022","low_tide","stem_extrapolated",0.0415709119560982,0.149928667446929,0.00444128212945221,0.203086228038998,"healthy"
"SRS5","Oct 2022","low_tide","total",2.05312466990519,0.297180120435893,1.54492500032087,2.61273988990968,"healthy"
"SRS6","Oct 2022","high_tide","soil",0,0,0,0,"healthy"
"SRS6","Oct 2022","high_tide","water",0.603880728382826,0.345508122688557,-0.0809443322476612,1.27310169702699,"healthy"
"SRS6","Oct 2022","high_tide","root",4.65309501823756,3.49420636225238,-1.77590266654924,11.9762312993699,"healthy"
"SRS6","Oct 2022","high_tide","cwd",0.00464842984171937,0.00511493754402545,0.000537731530495884,0.0179599382689236,"healthy"
"SRS6","Oct 2022","high_tide","stem_measured",0.0212719425112093,0.00926326986698488,0.00872435143552208,0.0448826454017316,"healthy"
"SRS6","Oct 2022","high_tide","stem_extrapolated",0.554864813157954,9.386611571841,0.000123097762067719,0.122422716373547,"healthy"
"SRS6","Oct 2022","high_tide","total",5.83776093213126,10.0368452815516,-1.1906280309088,13.269003638858,"healthy"
"SRS6","Oct 2022","low_tide","soil",25.2447765579193,8.88038941103935,7.32394676313854,43.1969830350068,"healthy"
"SRS6","Oct 2022","low_tide","water",0,0,0,0,"healthy"
"SRS6","Oct 2022","low_tide","root",4.65309501823756,3.49420636225238,-1.77590266654924,11.9762312993699,"healthy"
"SRS6","Oct 2022","low_tide","cwd",0.00464842984171937,0.00511493754402545,0.000537731530495884,0.0179599382689236,"healthy"
"SRS6","Oct 2022","low_tide","stem_measured",0.0212719425112093,0.00926326986698488,0.00872435143552208,0.0448826454017316,"healthy"
"SRS6","Oct 2022","low_tide","stem_extrapolated",0.554864813157954,9.386611571841,0.000123097762067719,0.122422716373547,"healthy"
"SRS6","Oct 2022","low_tide","total",30.4786567616677,13.1939725747104,11.3022393460748,49.2773113489761,"healthy"
"CP40","Mar 2023","fixed","soil",0,0,0,0,"ghost"
"CP40","Mar 2023","fixed","water",19.8239414986907,10.0302380082052,0.538901881438716,40.0632779191394,"ghost"
"CP40","Mar 2023","fixed","root",0.0107319789598064,0.00271895779721833,0.0062568180742853,0.0168964491824611,"ghost"
"CP40","Mar 2023","fixed","cwd",0.00137152750105341,0.00148123585351244,0.00012805669888916,0.00556728903416393,"ghost"
"CP40","Mar 2023","fixed","stem_measured",0.13089593979902,0.0659511450961125,0.0471959234545539,0.296732396715862,"ghost"
"CP40","Mar 2023","fixed","stem_extrapolated",0.000280516028533308,0.000454406651040173,2.20592094687351e-05,0.00125569994273369,"ghost"
"CP40","Mar 2023","fixed","total",19.9672214609792,10.0295912567134,0.687792413200261,40.2747231538663,"ghost"
"FLM30","Mar 2023","fixed","soil",0,0,0,0,"ghost"
"FLM30","Mar 2023","fixed","water",7.59830663145831,0.859408154222112,5.94514251114999,9.27792031098017,"ghost"
"FLM30","Mar 2023","fixed","root",0.0081943761239458,0.0021300660329942,0.0046599449319042,0.0131836141428513,"ghost"
"FLM30","Mar 2023","fixed","cwd",0,0,0,0,"ghost"
"FLM30","Mar 2023","fixed","stem_measured",0.125817312490546,0.0490076210126671,0.0563035438236065,0.243886774514166,"ghost"
"FLM30","Mar 2023","fixed","stem_extrapolated",0.00055625227998392,0.000869890933822076,4.07157192637365e-05,0.0026009375118275,"ghost"
"FLM30","Mar 2023","fixed","total",7.73287457235279,0.860454659533982,6.09039957574393,9.41386210027174,"ghost"
"SRS5","Mar 2023","high_tide","soil",0,0,0,0,"healthy"
"SRS5","Mar 2023","high_tide","water",0.643734636570906,0.160598820250583,0.332369093274987,0.958376557417925,"healthy"
"SRS5","Mar 2023","high_tide","root",0.398357124968735,0.21717371580383,0.00491874589605373,0.863193785556693,"healthy"
"SRS5","Mar 2023","high_tide","cwd",0.00173334674561728,0.00179280255432398,0.000197775646476138,0.00651967703066366,"healthy"
"SRS5","Mar 2023","high_tide","stem_measured",0.0144612178870015,0.00273576133938802,0.00995831480275238,0.0207191354347201,"healthy"
"SRS5","Mar 2023","high_tide","stem_extrapolated",0.0793069429680734,1.04110275101712,0.00633388021193472,0.294390403802739,"healthy"
"SRS5","Mar 2023","high_tide","total",1.13759326914033,1.08178462087729,0.583659399548869,1.72839928892397,"healthy"
"SRS5","Mar 2023","low_tide","soil",0.458605715026353,0.175880344781879,0.114202432892389,0.804194770687477,"healthy"
"SRS5","Mar 2023","low_tide","water",0,0,0,0,"healthy"
