"site","campaign","scenario","tide_state","disturbance_level","cwd_SA_m2","cwd_mg","total_mg"
"FLM30","Mar 2023","exponential","fixed","ghost",25,0,7.74321299342646
"FLM30","Mar 2023","zero_above_max","fixed","ghost",25,0,8.47946257427194
"SRS5","Mar 2023","exponential","high_tide","healthy",25,0.00444198197070984,1.08003130368151
"SRS5","Mar 2023","zero_above_max","high_tide","healthy",25,0.00444198197070984,1.06880359887198
"SRS5","Mar 2023","exponential","low_tide","healthy",25,0.00444198197070984,0.896460373850275
"SRS5","Mar 2023","zero_above_max","low_tide","healthy",25,0.00444198197070984,0.885232669040748
"SRS6","Mar 2023","exponential","high_tide","healthy",25,0.00460854024263683,1.84214008020167
"SRS6","Mar 2023","zero_above_max","high_tide","healthy",25,0.00460854024263683,1.82485800565882
"SRS6","Mar 2023","exponential","low_tide","healthy",25,0.00460854024263683,5.17984061666084
"SRS6","Mar 2023","zero_above_max","low_tide","healthy",25,0.00460854024263683,5.16255854211798
"CP40","Oct 2022","exponential","fixed","ghost",50,0.182325211338519,74.8667628648677
"CP40","Oct 2022","zero_above_max","fixed","ghost",50,0.182325211338519,76.3545522053299
"FLM30","Oct 2022","exponential","fixed","ghost",50,0,26.6129869608036
"FLM30","Oct 2022","zero_above_max","fixed","ghost",50,0,28.2785888735438
"SRS5","Oct 2022","exponential","high_tide","healthy",50,0.0278884768600791,0.931506411034948
"SRS5","Oct 2022","zero_above_max","high_tide","healthy",50,0.0278884768600791,0.920799857411161
"SRS5","Oct 2022","exponential","low_tide","healthy",50,0.0278884768600791,2.04551530787923
"SRS5","Oct 2022","zero_above_max","low_tide","healthy",50,0.0278884768600791,2.03480875425545
"SRS6","Oct 2022","exponential","high_tide","healthy",50,0.0231569667368949,5.24179565176846
"SRS6","Oct 2022","zero_above_max","high_tide","healthy",50,0.0231569667368949,5.44993884854973
"SRS6","Oct 2022","exponential","low_tide","healthy",50,0.0231569667368949,29.845567552089
"SRS6","Oct 2022","zero_above_max","low_tide","healthy",50,0.0231569667368949,30.0537107488703
"CP40","Mar 2023","exponential","fixed","ghost",50,0.0068075284865489,20.0092693028504
"CP40","Mar 2023","zero_above_max","fixed","ghost",50,0.0068075284865489,20.4133987227389
"FLM30","Mar 2023","exponential","fixed","ghost",50,0,7.74321299342646
"FLM30","Mar 2023","zero_above_max","fixed","ghost",50,0,8.47946257427194
"SRS5","Mar 2023","exponential","high_tide","healthy",50,0.00888396394141969,1.08447328565222
"SRS5","Mar 2023","zero_above_max","high_tide","healthy",50,0.00888396394141969,1.07324558084269
"SRS5","Mar 2023","exponential","low_tide","healthy",50,0.00888396394141969,0.900902355820984
"SRS5","Mar 2023","zero_above_max","low_tide","healthy",50,0.00888396394141969,0.889674651011458
"SRS6","Mar 2023","exponential","high_tide","healthy",50,0.00921708048527367,1.84674862044431
"SRS6","Mar 2023","zero_above_max","high_tide","healthy",50,0.00921708048527367,1.82946654590145
"SRS6","Mar 2023","exponential","low_tide","healthy",50,0.00921708048527367,5.18444915690348
"SRS6","Mar 2023","zero_above_max","low_tide","healthy",50,0.00921708048527367,5.16716708236062
"CP40","Oct 2022","exponential","fixed","ghost",100,0.364650422677037,75.0490880762062
"CP40","Oct 2022","zero_above_max","fixed","ghost",100,0.364650422677037,76.5368774166684
"FLM30","Oct 2022","exponential","fixed","ghost",100,0,26.6129869608036
"FLM30","Oct 2022","zero_above_max","fixed","ghost",100,0,28.2785888735438
"SRS5","Oct 2022","exponential","high_tide","healthy",100,0.0557769537201582,0.959394887895027
"SRS5","Oct 2022","zero_above_max","high_tide","healthy",100,0.0557769537201582,0.94868833427124
"SRS5","Oct 2022","exponential","low_tide","healthy",100,0.0557769537201582,2.07340378473931
"SRS5","Oct 2022","zero_above_max","low_tide","healthy",100,0.0557769537201582,2.06269723111553
"SRS6","Oct 2022","exponential","high_tide","healthy",100,0.0463139334737898,5.26495261850535
"SRS6","Oct 2022","zero_above_max","high_tide","healthy",100,0.0463139334737898,5.47309581528663
"SRS6","Oct 2022","exponential","low_tide","healthy",100,0.0463139334737898,29.8687245188259
"SRS6","Oct 2022","zero_above_max","low_tide","healthy",100,0.0463139334737898,30.0768677156072
"CP40","Mar 2023","exponential","fixed","ghost",100,0.0136150569730978,20.0160768313369
"CP40","Mar 2023","zero_above_max","fixed","ghost",100,0.0136150569730978,20.4202062512255
"FLM30","Mar 2023","exponential","fixed","ghost",100,0,7.74321299342646
"FLM30","Mar 2023","zero_above_max","fixed","ghost",100,0,8.47946257427194
