flux_id,date,plot,measurement_type,component,surface_type,analyzer_source,data_source,start_time,end_time,year,month,season,air_temp,soil_temp,water_temp,water_depth,pressure_start,rh_start,chamber_volume_cm3,surface_area_cm2,total_system_volume_cm3,CH4_best.flux,CH4_model,CH4_quality.check,CH4_flux_status,CH4_below_MDF,CH4_flagged,CH4_SNR,CH4_LM.flux,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.r2,CO2_best.flux,CO2_model,CO2_quality.check,CO2_flux_status,CO2_below_MDF,CO2_flagged,CO2_SNR,CO2_LM.flux,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.r2,CH4_ebull_flux,CH4_diffusive_flux,CH4_ebullitive_fraction,CH4_n_ebull_events,ebullition_reprocessed,flux_status,disturbance_level,notes
44857_CP40_Water_76,2022-10-23,CP40,surface,water,water,LGR2,original,11:28:00,11:31:00,2022,10,wet,28,26.3,NA,23,NA,NA,3370,324.3,4318,120.84928493766526,LM,RMSE | SE | AICc | Intercept,valid,FALSE,TRUE,22.40324632478621,90.19999578492484,0.6540043034014245,5.275259803694674e-63,90.2135835949048,0.6537612747431141,0.7022318823833904,HM,NA,valid,FALSE,FALSE,58.62645460551533,0.6573113592801691,0.9947564507336653,2.9218984650457323e-291,0.7022318823833904,0.9950700705318528,75.67213271865961,45.17715221900565,0.6261694701602225,11,TRUE,valid,ghost,NA
44857_CP40_Water_77,2022-10-23,CP40,surface,water,water,LGR2,original,11:42:45,11:45:45,2022,10,wet,28.34,NA,NA,23,NA,NA,3370,324.3,4318,28.719190935194035,HM,NA,valid,FALSE,FALSE,286.97894221414214,22.02033885027499,0.9947106890278984,1.4259480716253776e-227,28.81891144862577,0.9998262588486546,0.5497698566459326,HM,MAE | AICc,valid,FALSE,TRUE,37.799005708776775,0.544264447211337,0.991388457592154,1.2921761905739798e-206,0.5497698566459326,0.9912454426338756,0,28.719190935194035,0,0,TRUE,valid,ghost,NA
44857_CP40_Water_78,2022-10-23,CP40,surface,water,water,LGR2,original,11:47:00,11:50:00,2022,10,wet,28.34,NA,NA,23,NA,NA,3370,324.3,4318,25.090376289897364,LM,RMSE | SE | AICc,valid,FALSE,TRUE,26.04917697181413,25.090376289897364,0.6658672136372326,6.476352182889e-83,25.16469616689776,0.6656878622171458,0.6170750363776364,HM,NA,valid,FALSE,FALSE,83.68901684010287,0.5642702331900801,0.9962361680580346,0,0.6170750363776364,0.9967929412166447,0,25.090376289897364,0,0,FALSE,valid,ghost,NA
44857_CP40_Water_79,2022-10-23,CP40,surface,water,water,LGR2,original,12:01:45,12:04:45,2022,10,wet,29.18,NA,NA,23,NA,NA,3370,324.3,4318,18.184903436708684,HM,NA,valid,FALSE,FALSE,267.9884588815792,17.78306150186809,0.999652278374299,0,18.653757022938738,0.999810603978924,0.608865162498742,HM,MAE | AICc,valid,FALSE,TRUE,47.939174676851806,0.6028634728085391,0.994352522914066,2.948587787810318e-238,0.608865162498742,0.9942318363219405,0,18.184903436708684,0,0,TRUE,valid,ghost,NA
44857_CP40_Water_80,2022-10-23,CP40,surface,water,water,LGR2,original,12:09:00,12:14:00,2022,10,wet,29.733333333333334,NA,NA,NA,NA,NA,3370,324.3,4318,49.89457119600125,LM,SE | g-fact. > 2 | Intercept,valid,FALSE,TRUE,33.492068538743254,35.99491805458706,0.7871770804239414,1.0640273405212913e-103,162.57695408725738,0.9393002173669942,0.6416095917525667,HM,NA,valid,FALSE,FALSE,87.08832819741093,0.602247424044519,0.9971446181218632,0,0.6416095917525667,0.9974152802474786,13.18633474827933,36.70823644772192,0.26428395779731917,5,TRUE,valid,ghost,NA
44996_SRS6_Water_86,2023-03-11,SRS6,surface,water,water,LGR2,original,13:16:00,13:21:00,2023,3,dry,27.275,25.6,NA,30,NA,NA,3370,324.3,4318,1.5377922233774592,HM,NA,valid,FALSE,FALSE,165.33116575546515,1.3015590656252378,0.9975168459667112,0,1.4691041476016744,0.9985297952911132,1.5882540276286148,HM,NA,valid,FALSE,FALSE,263.5295884299217,1.4248917397587564,0.9986083249428503,0,1.5882540276286148,0.9994243376116768,0,1.5377922233774592,0,0,TRUE,valid,healthy,ebulition seems limited here
44996_SRS6_Water_87,2023-03-11,SRS6,surface,water,water,LGR2,original,13:31:00,13:37:00,2023,3,dry,28.3,25.6,NA,20,NA,NA,3370,324.3,4318,1.43372169377697,HM,NA,valid,FALSE,FALSE,172.37013197931643,1.3611989807770004,0.998309001922593,0,1.473956511992804,0.9987432350574896,1.669571363507892,HM,NA,valid,FALSE,FALSE,522.6947256839546,1.4345217811589217,0.998272326288064,0,1.669571363507892,0.9998583207108048,0,1.43372169377697,0,0,TRUE,valid,healthy,no visible bubbles once tide has come in a bit
44996_SRS6_Water_88,2023-03-11,SRS6,surface,water,water,LGR2,original,13:45:00,13:50:00,2023,3,dry,26.950000000000003,25.7,NA,10,NA,NA,3370,324.3,4318,1.1817944945627916,HM,NA,valid,FALSE,FALSE,84.25014276035107,1.0757031285200898,0.9952069474766548,0,1.1563172519653702,0.9955671843667534,1.5129542460315306,HM,NA,valid,FALSE,FALSE,301.0926237897118,1.397435610102338,0.9992203042433456,0,1.5129542460315306,0.999650282809092,0,1.1817944945627916,0,0,TRUE,valid,healthy,???
44996_SRS6_Soil_89,2023-03-11,SRS6,surface,soil,soil,LGR2,original,11:31:00,11:35:00,2023,3,dry,26.7,24.5,NA,0,NA,NA,12300,433.7,13248,10.63532834327336,LM,RMSE | SE | AICc | Intercept,valid,FALSE,TRUE,55.9549041435424,10.63532834327336,0.8651170325704958,3.2873045938017023e-214,10.644741772124492,0.8648308924433121,2.0790104991787124,HM,NA,valid,FALSE,FALSE,169.0136026709718,1.2959958872766473,0.982592345115318,0,2.0790104991787124,0.9986722113951536,0,NA,0,0,FALSE,valid,healthy,NA
44996_SRS6_Soil_90,2023-03-11,SRS6,surface,soil,soil,LGR2,original,11:47:00,11:49:00,2023,3,dry,26.7,25.2,NA,0,NA,NA,12300,433.7,13248,3.3589693998097885,LM,SE | g-fact. > 2 | Intercept,valid,FALSE,TRUE,31.542685994837868,3.3589693998097885,0.753590195640397,8.687489361968179e-101,15.645923560494936,0.8966869078017302,0.7458046362171007,HM,NA,valid,FALSE,FALSE,40.76135580694643,0.5208432618292712,0.9765050739124804,3.4074996500567734e-266,0.7458046362171007,0.9855061818122484,0,NA,0,0,FALSE,valid,healthy,NA
