Site,Depth_cm,Depth_numeric,Lat,Long,Description,ORP,pH,ppmDO,SpCond,PSU,TempC,Sulfide,Total Iron,Cl_ppm,Br_ppm,SO4_ppm,NO3_N_ppm,PO4_P_ppm,F_ppm,Alkalinity_uM,DOC_mg_L,CH4_mean_uM,CH4_sd_uM,d13C_CH4_mean,d13C_CH4_sd,CO2_mean_uM,CO2_sd_uM,d13C_CO2_mean,d13C_CO2_sd
SRS5,Surface,-5,25.37694508,-81.03233098,"Mangrove wetland, intermediate stature, riverine end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3723.4333,NA,0.2965567295151733,0.00230065136270653,-72.41172065500001,0.15855876083080303,577.3380043258448,97.93633481345778,-19.63466508,0.41888991575355383
SRS5,0,0,25.37694508,-81.03233098,"Mangrove wetland, intermediate stature, riverine end",-233,6.77,3.35,2249,13.42,30.18,4.49,0.1,NA,29,905.38,NA,NA,1.01,8095.9086,96.09,3.656910550960829,4.170363278854751,-89.58206128500001,10.25296297234539,1824.005498427835,786.8286076948145,-320.4082987,131.89292421082823
SRS5,15,15,25.37694508,-81.03233098,"Mangrove wetland, intermediate stature, riverine end",-268,6.64,2.54,2583,15.7,28.01,15.8,0.06,NA,33.849999999999994,901.8899999999999,NA,NA,1.23,12172.7575,23.34,5.341781920145303,2.203141601467136,-98.5867028,3.0202251722382876,2733.3187846957535,50.23423368995133,-1476.9852025,174.98473892779296
SRS5,45,45,25.37694508,-81.03233098,"Mangrove wetland, intermediate stature, riverine end",-271,6.83,2.4,4189,26.8,27.65,25.44,0.06,NA,56.989999999999995,1657.44,NA,NA,1.01,12778.0739,17.24,0.8101215222421702,0.2440111916012148,-79.484274025,2.6354960305611224,2500.3081951299073,337.3174217834764,-1486.57904145,990.6657144123664
SRS5,90,90,25.37694508,-81.03233098,"Mangrove wetland, intermediate stature, riverine end",-291,6.44,2.16,3717,23.49,27.52,29.22,0.04,NA,49.720000000000006,1477.31,NA,NA,1.04,11417.0225,16.919999999999998,3.7333931758561985,1.5629807054323608,-85.64957682,0.8859509011478742,3479.50938466761,133.3969996443379,-2647.2564525,77.3275705378571
SRS6,Surface,-5,25.36458864,-81.07797319,"Mangrove wetland, large stature, estuarine end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3722.902385,NA,0.46741603420716704,0.04603303857680032,-75.51140379,0.35261052026910783,590.986331968855,14.90010458261604,-19.184318180000002,0.01170975900712952
SRS6,0,0,25.36458864,-81.07797319,"Mangrove wetland, large stature, estuarine end",-93,6.82,4.96,4048,25.78,28.07,1.74,1.14,NA,55.330000000000005,1658,NA,NA,1.4000000000000001,10385.58653,19.28,0.18404153948354252,0.13592212026228978,-65.046252865,13.85729057577084,505.8804094789715,630.5553167131898,-260.47814435,221.1310700310602
SRS6,15,15,25.36458864,-81.07797319,"Mangrove wetland, large stature, estuarine end",-188,6.78,3.6,4108,26.7,27.88,3.97,0.72,NA,57.43000000000001,1694.4499999999998,NA,NA,1.45,11056.91236,18.9,1.0430156108567623,0.09782217863457292,-77.343114765,1.022663074714917,1762.516376296507,22.466700133725084,-28.808553515,1.9106575427446943
SRS6,45,45,25.36458864,-81.07797319,"Mangrove wetland, large stature, estuarine end",-240,6.75,3.37,4677,30.3,28.03,37.32,0.07,NA,65.85,1885.6299999999999,NA,NA,1.43,12540.99591,17.76,0.6608017853136587,0.2277963112796242,-84.401779645,2.409240429205505,2326.23491475056,285.03565179119596,-269.49165849999997,338.04454243656676
SRS6,90,90,25.36458864,-81.07797319,"Mangrove wetland, large stature, estuarine end",-308,6.42,1.88,5237,35.08,28.61,32.92,0.14,NA,73.78999999999999,2268.79,NA,NA,1.25,10653.76957,14.71,1.618042790558641,0.26601835844739036,-93.334133205,0.47579617951824954,2870.945922409164,430.2995972167163,-384.072710465,504.9746115230625
