"","source_file","...1","segment_class","height_bin","height_bin_num","Total_volume_m3","Total_surface_area_m2","site"
"92","SRS5_plot_component_summary.csv",6,"branch","1–1.5",1,0.427851774,28.32815571,"SRS5"
"93","SRS5_plot_component_summary.csv",7,"root","1-1.5",1,0.204836209,15.28104093,"SRS5"
"94","SRS5_plot_component_summary.csv",8,"trunk","1–1.5",1,2.94612472,109.6021707,"SRS5"
"95","SRS5_plot_component_summary.csv",9,"branch","1.5–2",1.5,0.154291879,18.60242511,"SRS5"
"96","SRS5_plot_component_summary.csv",10,"root","1.5-2.0",1.5,0.001127915,0.126447345,"SRS5"
"97","SRS5_plot_component_summary.csv",11,"trunk","1.5–2",1.5,2.54724112,93.70509568,"SRS5"
"98","SRS5_plot_component_summary.csv",12,"branch","2–2.5",2,0.250847307,26.48081158,"SRS5"
"99","SRS5_plot_component_summary.csv",13,"trunk","2–2.5",2,2.263133144,78.32462648,"SRS5"
"100","SRS5_plot_component_summary.csv",14,"branch","2.5–3",2.5,0.3259495,34.57110978,"SRS5"
"101","SRS5_plot_component_summary.csv",15,"trunk","2.5–3",2.5,2.054233274,68.56606586,"SRS5"
"102","SRS5_plot_component_summary.csv",16,"branch","3–3.5",3,0.362417635,40.46307281,"SRS5"
"103","SRS5_plot_component_summary.csv",17,"trunk","3–3.5",3,1.57623108,56.82123429,"SRS5"
"104","SRS5_plot_component_summary.csv",18,"branch","3.5–4",3.5,0.435143415,46.49867203,"SRS5"
"105","SRS5_plot_component_summary.csv",19,"trunk","3.5–4",3.5,1.784904062,55.23049331,"SRS5"
"106","SRS5_plot_component_summary.csv",20,"branch","4–4.5",4,0.415005337,47.92610705,"SRS5"
"107","SRS5_plot_component_summary.csv",21,"trunk","4–4.5",4,1.335320236,47.6296915,"SRS5"
"108","SRS5_plot_component_summary.csv",22,"branch","4.5–5",4.5,0.507890322,57.10207904,"SRS5"
"109","SRS5_plot_component_summary.csv",23,"trunk","4.5–5",4.5,1.204984745,40.78828061,"SRS5"
"110","SRS5_plot_component_summary.csv",24,"branch","5–5.5",5,0.57915966,68.41867848,"SRS5"
"111","SRS5_plot_component_summary.csv",25,"trunk","5–5.5",5,0.897249844,32.70437756,"SRS5"
"112","SRS5_plot_component_summary.csv",26,"branch","5.5–6",5.5,0.578996992,70.69168844,"SRS5"
"113","SRS5_plot_component_summary.csv",27,"trunk","5.5–6",5.5,0.795993096,27.91143658,"SRS5"
"114","SRS5_plot_component_summary.csv",28,"branch","6–6.5",6,0.515514729,66.5207106,"SRS5"
"115","SRS5_plot_component_summary.csv",29,"trunk","6–6.5",6,0.647324622,24.29150779,"SRS5"
"116","SRS5_plot_component_summary.csv",30,"branch","6.5–7",6.5,0.534088324,65.38608181,"SRS5"
"117","SRS5_plot_component_summary.csv",31,"trunk","6.5–7",6.5,0.422864771,16.77730071,"SRS5"
"118","SRS5_plot_component_summary.csv",32,"branch","7–7.5",7,0.481659457,60.74909577,"SRS5"
"119","SRS5_plot_component_summary.csv",33,"trunk","7–7.5",7,0.316671112,13.42910197,"SRS5"
"120","SRS5_plot_component_summary.csv",34,"branch","7.5–8",7.5,0.365889324,51.14089548,"SRS5"
"121","SRS5_plot_component_summary.csv",35,"trunk","7.5–8",7.5,0.242118467,10.62183063,"SRS5"
"122","SRS5_plot_component_summary.csv",36,"branch","8–8.5",8,0.322273634,43.7745151,"SRS5"
"123","SRS5_plot_component_summary.csv",37,"trunk","8–8.5",8,0.177465954,7.885284463,"SRS5"
"124","SRS5_plot_component_summary.csv",38,"branch","8.5–9",8.5,0.271140399,36.79687031,"SRS5"
"125","SRS5_plot_component_summary.csv",39,"trunk","8.5–9",8.5,0.126076387,5.940217009,"SRS5"
"126","SRS5_plot_component_summary.csv",40,"branch","9–9.5",9,0.25182162,36.16541559,"SRS5"
"127","SRS5_plot_component_summary.csv",41,"trunk","9–9.5",9,0.08847334,4.602359787,"SRS5"
"128","SRS5_plot_component_summary.csv",42,"branch","9.5–10",9.5,0.222313613,33.81581291,"SRS5"
"129","SRS5_plot_component_summary.csv",43,"trunk","9.5–10",9.5,0.058463776,3.290062689,"SRS5"
"130","SRS5_plot_component_summary.csv",44,"branch","10–10.5",10,0.185958687,29.37415803,"SRS5"
"131","SRS5_plot_component_summary.csv",45,"trunk","10–10.5",10,0.027958579,1.754024817,"SRS5"
"132","SRS5_plot_component_summary.csv",46,"branch","10.5–11",10.5,0.145872937,25.93162851,"SRS5"
"133","SRS5_plot_component_summary.csv",47,"trunk","10.5–11",10.5,0.016483757,1.036124463,"SRS5"
"134","SRS5_plot_component_summary.csv",48,"branch","11–11.5",11,0.097198327,19.1626637,"SRS5"
"135","SRS5_plot_component_summary.csv",49,"trunk","11–11.5",11,0.008082123,0.625101477,"SRS5"
"136","SRS5_plot_component_summary.csv",50,"branch","11.5–12",11.5,0.06557041,13.31365454,"SRS5"
"137","SRS5_plot_component_summary.csv",51,"trunk","11.5–12",11.5,0.00208887,0.253403125,"SRS5"
"138","SRS5_plot_component_summary.csv",52,"branch","12–12.5",12,0.043263923,8.243451724,"SRS5"
"139","SRS5_plot_component_summary.csv",53,"branch","12.5–13",12.5,0.018371498,3.710412687,"SRS5"
"140","SRS5_plot_component_summary.csv",54,"branch","13–13.5",13,0.01705945,2.392276499,"SRS5"
"141","SRS5_plot_component_summary.csv",55,"branch","13.5–14",13.5,0.001404794,0.424985418,"SRS5"
"142","SRS5_plot_component_summary.csv",56,"branch","14–14.5",14,0.000104285,0.050380025,"SRS5"
"143","SRS6_plot_component_summary.csv",1,"root","0-0.5",0,2.62123133,239.7588977,"SRS6"
"144","SRS6_plot_component_summary.csv",2,"trunk","0–0.5",0,1.761929887,47.73429654,"SRS6"
"145","SRS6_plot_component_summary.csv",3,"branch","0.5–1",0.5,0.056869267,4.978553318,"SRS6"
"146","SRS6_plot_component_summary.csv",4,"root","0.5-1",0.5,2.504203082,170.0783994,"SRS6"
