UniqueID,best.flux,model,quality.check,LM.flux,HM.flux,LM.r2,HM.r2,LM.p.val,g.fact,HM.k,nb.obs
Mar_23_304_BL60_leaves,-5.1828184101329535,HM,SE,-4.1901772414442355,-5.1828184101329535,0.9964094952372285,0.9993067162113084,0,1.236897179162422,0.0011008337762337306,398
Oct_22_267_BL60_stem,5.042750973375803,HM,SE,3.0705339469708903,5.042750973375803,0.9738106831580353,0.9918700483225897,2.8428012407926006e-130,1.6423042573264897,0.0064798854135848785,164
Mar_23_307_BL60_leaves,-4.616874801226017,HM,SE,-3.716992778777105,-4.616874801226017,0.9962881431126168,0.9994740236658715,4.268969234701222e-295,1.242099480953249,0.0018523090707963622,243
Oct_22_261_BL60_stem,4.25950221134332,HM,SE,3.433856394001958,4.25950221134332,0.8353243670021966,0.8381830682994467,3.9443275632074624e-89,1.2404427333605295,0.001984655941355701,224
Oct_22_250_BL60_stem,3.5569389799160738,LM,SE | g-fact. > 2 | Intercept (LM),3.5569389799160738,7.838301852717414,0.9499935472475511,0.9968739597785717,1.7196706805210202e-137,2.2036649762550495,0.008325222820684692,210
Oct_22_249_BL60_stem,3.328509099138321,LM,RMSE | MAE | SE | AICc,3.328509099138321,3.351517196827155,0.9915088510910388,0.9913399752118791,6.475127048734816e-227,1.0069124334660193,7.056339904241692e-5,219
Mar_23_309_BL60_leaves,-2.9396512435868996,LM,RMSE | MAE | SE | AICc,-2.9396512435868996,-3.447396262579792,0.9975225395552453,0.9961563003503114,9e-323,1.1727228765999305,0.0013437817373498512,248
Oct_22_204_CP40_stem,2.546036007001891,HM,,2.4336087603700176,2.546036007001891,0.999302792831839,0.9994410424972394,4.0630167327e-313,1.0461977489819603,4.6149261523807157e-4,199
Oct_22_268_BL60_stem,2.5089433708979794,LM,MAE | SE | AICc | Intercept,2.5089433708979794,2.504898502056258,0.009664412887918528,0.009658849089094201,0.04414299697402133,0.9983878197935279,1.8086965238504483e-6,317
Oct_22_245_BL60_stem,2.225908487757597,HM,SE,1.9830385640639248,2.225908487757597,0.9897623767526101,0.990670785381482,3.6341955210454464e-202,1.1224736261285553,0.0011649475859469283,203
Oct_22_202_CP40_stem,2.0559878741522706,HM,,1.8928491660070768,2.0559878741522706,0.9988414929445744,0.999311328204412,0,1.0861868505293168,7.169154120570971e-4,236
Mar_23_302_BL60_leaves,-1.966168545383473,LM,RMSE | MAE | SE | AICc,-1.966168545383473,-2.3481903238084505,0.9985271934851505,0.9973291243463271,3.2470539443223375e-305,1.1942975739907737,0.0017340364610501065,216
Oct_22_246_BL60_stem,1.7293342415735524,HM,SE | Intercept (LM),1.2310241238269324,1.7293342415735524,0.9616954387633038,0.9698365022334068,3.237562454569881e-133,1.404793137763624,0.003808030925018637,187
Oct_22_201_CP40_stem,1.6219488618606872,HM,,1.333256501411193,1.6219488618606872,0.995412855028121,0.9981160485294154,0,1.2165317477499087,0.0014372726863287502,281
Mar_23_301_BL60_leaves,-1.489618675182263,HM,Intercept (LM),-0.9564974347410615,-1.489618675182263,0.9833584850460977,0.9970842503578728,4.866452066970523e-229,1.557368186340746,0.0036485575475622475,257
Oct_22_244_BL60_stem,1.4276213309986654,LM,MAE | SE | AICc,1.4276213309986654,1.435936234330551,0.9547610191519528,0.9546001844001771,2.6432096424705575e-137,1.0058243058935448,6.503091367364602e-5,203
Oct_22_203_CP40_stem,1.4249506637631644,HM,SE | AICc,1.3100024110735555,1.4249506637631644,0.9547183750846897,0.9551780133822235,1.36894519784729e-136,1.0877465962794741,8.482127508195509e-4,202
Oct_22_262_BL60_stem,1.3740946835062222,HM,SE | Intercept (LM),0.8021264873554237,1.3740946835062222,0.9474540948840456,0.9662401855363947,9.48129407827052e-197,1.7130648409785754,0.003763003711153846,306
Mar_23_306_BL60_leaves,-1.3294013022328632,HM,,-1.1705086588091205,-1.3294013022328632,0.9926793998338584,0.9937715644131643,6.099624879063863e-157,1.1357466621267036,0.0017805227887051983,147
Mar_23_298_BL60_leaves,-0.959210756109229,LM,RMSE | MAE | SE | AICc,-0.959210756109229,-1.1641339610826402,0.9978771972722383,0.9932854671898038,0,1.213637309286048,7.313661123292942e-4,568
Mar_23_308_BL60_leaves,0.9564020124975962,HM,SE,0.8154403640954673,0.9564020124975962,0.98793067167508,0.9896726652304816,7.315610540275711e-198,1.1728656743138923,0.0015873121536976956,206
Oct_22_266_BL60_stem,0.93998235227143,HM,,0.7054368169852806,0.93998235227143,0.9833718682068687,0.988989723354344,3.524753633700687e-220,1.3324826967331977,0.0024166590909500403,247
Oct_22_205_CP40_stem,0.6353002296027965,HM,RMSE | AICc,0.6283397235729683,0.6353002296027965,0.9953981662315946,0.995306150339736,6.212823875034899e-250,1.0110776157685022,1.061038594991466e-4,214
Mar_23_305_BL60_leaves,0.5606807734893257,HM,SE | AICc,0.5545673782768789,0.5606807734893257,0.9448046652460637,0.9447062109365189,2.7263426516557824e-134,1.0110237194828193,1.0976693347426683e-4,212
Mar_23_300_BL60_leaves,-0.2707929282263174,HM,RMSE | AICc,-0.2639966369144503,-0.2707929282263174,0.9747636251543306,0.9743676111297032,5.5756715984710494e-210,1.0257438556464242,2.0007971747723903e-4,262
Mar_23_303_BL60_leaves,0.2630983165137844,HM,,0.17566467040079278,0.2630983165137844,0.9164790816279148,0.9292925814888691,8.506103892002804e-121,1.4977303968607054,0.0038267894929977465,222
Mar_23_299_BL60_leaves,-0.16099237018630214,HM,RMSE | AICc,-0.15829303974296266,-0.16099237018630214,0.958450485991847,0.9581927995000467,7.200607779380594e-211,1.0170527424814297,1.1410958591053453e-4,304
Oct_22_206_CP40_stem,-0.043827910995882395,HM,AICc | Intercept,-0.04369684579289063,-0.043827910995882395,0.4563859531169212,0.45620047691970844,2.0269594292065945e-41,1.0029994202238983,2.3039248095548036e-5,299
Mar_23_312_BL60_leaves,-0.03779220374883637,LM,HM.flux is NA,-0.03779220374883637,NA,0.37168002011355183,NA,8.916999757074221e-23,NA,NA,208
Mar_23_311_BL60_leaves,-0.03514618777883567,LM,HM.flux is NA,-0.03514618777883567,NA,0.5168827555432616,NA,2.9175793226937845e-48,NA,NA,294
